,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Outlet,DVR,Serial Number,Local IP,Port,MAC Address,Version,Device Type,Device Model,Build,Power Adapter/Cord,Video Input,Total Channel,NIC Speed,HDD Total Space,Hardware Version,Software Version,System version,Web version,ONVIFServer version,ONVIFClient version,SecurityBaseline Version,Firmware Version,Location,Warranty,Hybrid,WIP,P2P QR,,,
BBM,1,5G01810PAZ8AC54,192.168.1.31,37777,a0:bd:1d:2b:df:7f,English,HCVR,DH-XVR5116HS-X,29-08-19,12.0V 2.0A,16,16/24,300Mbps,2TB,V1.0,V4.000.0000002.11,V4.000.0000002.11,V3.2.7.119812,16.12(V1.2.3.675222),NULL,V2.0,,"upper corner of outlet, nearby outlet electrical switch",,,,,,,
BBM,2,5G01810PAZ447E3,192.168.1.32,37780,a0:bd:1d:2b:df:97,English,HCVR,DH-XVR5116HS-X,02-04-19,12.0V 2.0A,16,16/24,300Mbps,4TB,V1.0,V4.000.0000002.4,V4.000.0000002.4,V3.2.7.113072,16.12(V1.2.3.675222),NULL,V2.0,,"upper corner of outlet, nearby outlet electrical switch",,,,,,,
BBM,3,AH0CE6CPAZ99AC0,192.168.1.33,37782,f8:ce:07:9d:d0:d7,Chinese,HCVR,DH/HCVR5232AN-V7/-AF-DVR-II-A/32-1,05-08-24,250.0V 13.0A,32,32/48,300Mbps,16TB,V2.0,V4.000.0000003.1.R,V4.000.0000003.1.R,V5.21.0.240719.1079824,23.12(V3.1.0.1787642),V2.4.1,V2.4,,"upper corner of outlet, nearby outlet electrical switch",,,,,,,
BGM,1,4K02C50PAZA27B0,192.168.1.3,37777,9C:14:63:06:89:F7,English,HCVR,DH-XVR5216AN-X,23-08-18,12.0V 2.0A,16,16/24,100Mbps,2TB,V1.0,4.000.0000001.9,4.000.0000001.9,3.2.7.101581,16.12(V1.2.2.596777),NULL,V1.2,,,,,,,,,
BGM,2,8D04456PAZBCD2A,192.168.1.4,37780,E4:24:6C:99:6B:58,English,HCVR,DH-XVR5216AN-13,30-06-22,12.0V 4.0A,16,16/24,100Mbps,4TB,V1.0,V4.001.0000001.5.R,V4.001.0000001.5.R,V3.2.7.13717946,21.06(V3.1.0.1181751),NULL,V2.2,,,,,,,,,
BGM,3,6J00AFEPAZCACC0,192.168.1.5,37781,BC:32:5F:72:A5:C0,English,HCVR,DH-XVR7216A-4KL-I,28-02-20,12.0V 5.0A,16,16/24,100Mbps,4TB,V1.0,V4.001.0000000.3,V4.001.0000000.3,V3.2.7.126721,16.12(V1.2.3.728802),NULL,V2.1,,,,,,,,,
BGM,4,AH0CE6CPAZ89D45,192.168.1.6,37782,f8:ce:07:9d:d0:e5,Chinese,HCVR,DH/HCVR5232AN-V7/-AF-DVR-II-A/32-1,05-08-24,250.0V 13.0A,32,32/48,100Mbps,16TB,V2.0,V4.000.0000001.3.R,V4.000.0000001.3.R,V5.21.0.240719.1079824,23.12(V3.1.0.1787642),V2.4.1,V2.4,,,,,,,,,
BKP,1,5E06851PAZCDE73,192.168.1.3,37777,9C:14:63:E4:3B:EB,English,HCVR,DH-XVR5116HS-X,02-04-19,12.0V 5.0A,16,16/24,100Mbps,4TB,V1.0,V4.000.0000002.4,V4.000.0000002.4,V3.2.7.113072,16.12(V1.2.3.675222),NULL,V2.0,,behind the office,,,,,,,
BKP,2,7B04C93PAZ8530F,192.168.1.4,37780,24:52:6A:EA:F9:BF,English,HCVR,DH-XVR5216AN-4KL-12,08-09-20,12.0V 5.0A,16,16/32,100Mbps,2TB & 2TB,V1.0,V4.001.0000001.0,V4.001.0000001.0,V3.2.7.133844,16.12(V1.2.3.728802),NULL,V2.1,,behind the office,,,,,,,
BKP,3,5E0526CPAZ1D008,192.168.1.5,37781,9C:14:63:FD:C2:C3,English,HCVR,DH-XVR1B16H,02-04-19,12.0V 2.0A,16,16/24,100Mbps,2TB,V1.0,V4.000.0000002.4,V4.000.0000002.4,V3.2.7.113072,16.12(V1.2.3.675222),NULL,V2.0,,behind the office,,,,,,,
BKP,4,AG0E289PAZ8C957,192.168.1.6,37782,f8:ce:07:3f:26:11,Chinese,HCVR,DH/HCVR5232AN-V7/-AF-DVR-II-A/32-1,02/04.2019,250.0V 13.0A,32,32/48,100Mbps,16TB,V2.0,V4.000.0000001.3.R,V4.000.0000001.3.R,V5.21.0.240319.12466932,23.12(V3.1.0.1787642),V2.4.1,V2.4,,behind the office,,,,,,,
BSS,1,6K0B3B3PAZE0A81,192.168.1.3,37777,24:52:6A:28:59:45,Chinese,NVR,DH-NVR4432-HDS2,26-11-20,250.0V 13.0A,20,32,100Mbps,4TB & 4TB,V1.0,V4.001.0000006.1,V4.001.0000006.1,V3.2.7.135788,20.06(V2.8.1.957450),V2.4.1,V2.1,,in the server room,,,,,,,
BSS,2,6K0B3B3PAZ91EE9,192.168.1.4,37780,24:52:6A:28:59:47,Chinese,NVR,DH-NVR4432-HDS2,26-11-20,250.0V 13.0A,16,32,100Mbps,4TB & 4TB,V1.0,V4.001.0000006.1,V4.001.0000006.1,V3.2.7.135788,20.06(V2.8.1.957450),V2.4.1,V2.1,,in the server room,,,,,,,
BSS,4,AH06F45PAZ51809,192.168.1.5,37782,f8:ce:07:67:76:93,Chinese,HCVR,DH/HCVR5232AN-V7/-AF-DVR-II-A/32-1,05/08.2024,250.0V 13.0A,19,32/48,100Mbps,16TB,V2.0,V4.000.0000003.1.R,V4.000.0000003.1.R,V5.21.0.240719.1079824,V5.21.0.240719.1079824,V2.4.1,V2.4,,in the server room,,,,,,,
GMC,1,5B0371CPAZ26E26,192.168.1.3,37777,9C:14:63:81:8B:B9,English,HCVR,DH-XVR5116HS-X,23-08-18,12.0V 2.0A,16,16/24,300Mbps,4TB,V1.0,4.000.0000001.9,4.000.0000001.9,3.2.7.101581,16.12(V1.2.2.596777),NULL,V1.2,,,,,,,,,
GMC,2,5B0371CPAZB03C6,192.168.1.4,37780,9C:14:63:81:8B:BA,English,HCVR,DH-XVR5116HS-X,23-08-18,12.0V 2.0A,16,16/24,300Mbps,4TB,V1.0,4.000.0000001.9,4.000.0000001.9,3.2.7.101581,16.12(V1.2.2.596777),NULL,V1.2,,,,,,,,,
GMC,3,6J00AFEPAZ790BA,192.168.1.5,37781,BC:32:5F:72:A5:E1,English,HCVR,DH-XVR7216A-4KL-I,28-02-20,12.0V 5.0A,16,16/24,300Mbps,4TB,V1.0,V4.001.0000000.3,V4.001.0000000.3,V3.2.7.126721,16.12(V1.2.3.728802),NULL,V2.1,,,,,,,,,
GMC,4,AH06F45PAZ72B1D,192.168.1.6,37782,f8:ce:07:67:76:a2,Chinese,HCVR,DH/HCVR5232AN-V7/-AF-DVR-II-A/32-1,05-08-25,250.0V 13.0A,29,32/48,300Mbps,16TB,V2.0,V4.000.0000001.3.R,V4.000.0000001.3.R,V5.21.0.240319.12466932,23.12(V3.1.0.1787642),V2.4.1,V2.4,,,,,,,,,
JJM,1,8G07323PAZ290A7,192.168.1.3,37777,FC:B6:9D:2B:A5:17,English,HCVR,DH-XVR5216AN-13,30-06-22,12.0V 4.0A,16,16/24,300Mbps,4TB,V1.0,V4.001.0000001.5.R,V4.001.0000001.5.R,V3.2.7.13717946,21.06(V3.1.0.1181751),NULL,V2.2,,,,,,,,,
JJM,2,8G07323PAZAF091,192.168.1.4,37780,FC:B6:9D:2B:A5:1C,English,HCVR,DH-XVR5216AN-13,30-06-22,12.0V 4.0A,16,16/24,300Mbps,4TB,V1.0,V4.001.0000001.5.R,V4.001.0000001.5.R,V3.2.7.13717946,21.06(V3.1.0.1181751),NULL,V2.2,,,,,,,,,
JJM,3,8G07323PAZ99282,192.168.1.5,37781,FC:B6:9D:2B:A5:1E,English,HCVR,DH-XVR5216AN-13,30-06-22,12.0V 4.0A,16,16/24,300Mbps,4TB,V1.0,V4.001.0000001.5.R,V4.001.0000001.5.R,V3.2.7.13717946,21.06(V3.1.0.1181751),NULL,V2.2,,,,,,,,,
JJM,4,AH06F45PAZB5D91,192.168.1.6,37782,f8:ce:07:67:76:9e,Chinese,HCVR,DH/HCVR5232AN-V7/-AF-DVR-II-A/32-1,05-08-24,250.0V 13.0A,16,32/48,300Mbps,16TB,V2.0,V4.000.0000001.3.R,V4.000.0000001.3.R,V5.21.0.240319.12466932,23.12(V3.1.0.1787642),V2.4.1,V2.4,,,,,,,,,
JMT,1,3J00DEFPAZD1C48,192.168.1.3,37777,14:A7:8B:66:45:F3,English,DVR,DH-XVR4116HS,29-12-17,12.0V 2.0A,16,16/24,300Mbps,2TB,,,,,,,,,,,,,,,,
